municipality_id,municipality_code,municipality_name_en,municipality_name_np,district_id,is_active
251,AAD,AADARSH KOTWAL,आदर्श कोटवाल,21,Y
705,AAA,AADARSHA,आदर्श,70,Y
732,AAL,AALITAAL,आलिताल,73,Y
362,AAM,AAMA CHHODINGMO,आमाछोदिङमो,32,Y
105,AAC,AAMCHOWK,आमचोक,10,Y
418,AAN,AANBU KHAIRENI,आँबुखैरेनी,38,Y
430,AAH,AANDHI KHOLA,आँधिखोला,39,Y
400,AAR,AARUGHAT,आरूघाट,36,Y
617,AAT,AATHABIS,आठबीस,60,Y
2,AAI,AATHARAI TRIBENI,आठराई त्रिवेणी,1,Y
562,AAB,AATHBISKOT,आठबिसकोट,77,Y
84,AAZ,AATHRAI,आठराई ,8,Y
666,ADA,ADANCHULI,अदानचुली,66,Y
149,AGN,AGNISAIR KRISHNASAWARAN,अग्निसाइर कृष्णासरवन,15,Y
549,AIR,AIRAWATI,ऐरावती,52,Y
125,AIS,AISELUKHARKA,ऐसेलुखर्क ,13,Y
735,AJA,AJAYAMERU,अजयमेरु,73,Y
399,AJI,AJIRKOT,अजिरकोट,36,Y
730,AMA,AMARGADHI,अमरगढी,73,Y
173,ANA,ANARMA,अर्नमा,16,Y
436,ANN,ANNAPURNA,अन्नपूर्ण,40,Y
450,ANP,ANNAPURNA,अन्नपुर्ण,43,Y
750,API,API HIMAL,अपिहिमाल,75,Y
429,ARJ,ARJUN CHAUPARI,अर्जुनचौपारी,39,Y
32,ARU,ARJUNDHARA,अर्जुनधारा,4,Y
102,ARN,ARUN,अरुण,10,Y
165,AUR,AURAHI,औरही,16,Y
191,AUA,AURAHI,औरही,17,Y
206,AUH,AURAHI,औरही,18,Y
578,BAB,BABAI,बबई,55,Y
593,BAD,BADHAIYATAL,बढैयाताल,57,Y
471,BAI,BADIGAD,वडिगाड,45,Y
702,BAK,BADIKEDAR,बडीकेदार,70,Y
668,BAM,BADIMALIKA,बडीमालिका,67,Y
596,BAG,BAGCHAUR,बागचौर,58,Y
462,BAL,BAGLUNG,बागलुङ,45,Y
221,BAA,BAGMATI,बागमती,19,Y
329,BAT,BAGMATI,बागमती,28,Y
381,BAU,BAGMATI,बाग्मति,34,Y
506,BAN,BAGNASKALI,बगनासकाली,48,Y
38,BAH,BAHRADASHI,बाह्रदशी,4,Y
268,BAR,BAHUDARMAI,बहुदरमाई,22,Y
583,BAJ,BAIJANATH,बैजनाथ,56,Y
298,BAE,BAITESHWOR,वैतेश्वर,25,Y
380,BAY,BAKAIYA,बकैया,34,Y
156,BAV,BALAN BIHUL,बलान-बिहुल,15,Y
219,BAF,BALARA,बलरा,19,Y
306,BAP,BALEPHI,बलेफी,26,Y
204,BAW,BALWA,बलवा,18,Y
423,BAZ,BANDIPUR,वन्दिपुर,38,Y
313,BAO,BANEPA,बनेपा,27,Y
597,BAS,BANGAD KUPINDE,बनगाड कुपिण्डे,58,Y
530,BAQ,BANGANGA,बाणगंगा,50,Y
572,BAC,BANGLACHULI,बंगलाचुली,55,Y
695,BAX,BANNIGADHI JAYGADH,बान्निगढी जयगढ,69,Y
566,BJJ,BANPHIKOT,बाँफिकोट,77,Y
591,BEE,BANSGADHI,बाँसगढी,57,Y
258,BQQ,BARAGADHI,बारागढी,21,Y
65,BWW,BARAHAKSHETRA,बराह,6,Y
132,BSS,BARAHPOKHARI,वराहपोखरी,13,Y
611,BDD,BARAHTAL,बराहताल,59,Y
592,BTT,BARBARDIYA,बारबर्दिया,57,Y
475,BBB,BARDAGHAT,बर्दघाट,76,Y
716,BMM,BARDGORIYA,बर्दगोरिया,71,Y
193,BWX,BARDIBAS,बर्दिबास,18,Y
630,BNN,BAREKOT,बारेकोट,61,Y
466,BPP,BARENG,वरेङ,45,Y
301,BEF,BARHABISE,बाह्रविसे,26,Y
218,BVV,BARHATHAWA,बरहथवा,19,Y
169,BYY,BARIYARPATTI,बरियारपट्टी,16,Y
69,BVW,BARJU,बर्जु,6,Y
397,BNO,BARPAK SULIKOT,बारपाक सुलिकोट,36,Y
758,BRR,BASBARIYA,बसबरीया,19,Y
186,BYZ,BATESHWOR,बटेश्वर,17,Y
232,BHH,BAUDHIMAI,बौधीमाई,20,Y
482,BJK,BAUDIKALI,बौदीकाली,46,Y
723,BED,BEDKOT,वेदकोट,72,Y
136,BEL,BELAKA,वेलका,14,Y
726,BEA,BELAURI,बेलौरी,72,Y
44,BEB,BELBARI,बेलवारी,5,Y
728,BEN,BELDANDI,बेलडाडी,72,Y
347,BEK,BELKOTGADHI,बेलकोटगढी,31,Y
449,BEI,BENI,बेनी,43,Y
372,BEG,BENIGHAT RORANG,बेनीघाट रोराङ्ग,33,Y
406,BES,BESISAHAR,बेसीशहर,37,Y
321,BET,BETHANCHOWK,बेथानचोक,27,Y
31,BHA,BHADRAPUR,भद्रपुर ,4,Y
203,BHG,BHAGAHA,भँगाहा,18,Y
164,BHW,BHAGAWANPUR,भगवानपुर,16,Y
618,BHT,BHAGAWATIMAI,भगवतीमाई,60,Y
733,BHE,BHAGESHWOR,भागेश्वर,73,Y
623,BHI,BHAIRABI,भैरवी,60,Y
712,BHJ,BHAJANI,भजनी,71,Y
332,BHK,BHAKTAPUR,भक्तपुर,29,Y
414,BHN,BHANU,भानु,38,Y
388,BHR,BHARATPUR,भरतपुर,35,Y
721,BHM,BHEEMDATTA,भीमदत्त,72,Y
625,BHL,BHERI,भेरी,61,Y
606,BHO,BHERIGANGA,भेरीगंगा,59,Y
415,BHD,BHIMAD,भिमाद,38,Y
291,BHS,BHIMESHWOR,भिमेश्वर,25,Y
382,BHP,BHIMPHEDI,भिमफेदी,34,Y
404,BHB,BHIMSEN THAPA,भिमसेनथापा,36,Y
427,BHY,BHIRKOT,भीरकोट,39,Y
98,BHU,BHOJPUR,भोजपुर ,10,Y
70,BHQ,BHOKRAHA NARSINGH,भोक्राहा नरसिंह,6,Y
307,BHZ,BHOTEKOSHI,भोटेकोशी,26,Y
93,BHF,BHOTKHOLA,भोट खोला ,9,Y
564,BHV,BHUME,भूमे,54,Y
537,BHX,BHUMIKASTHAN,भूमिकास्थान,51,Y
322,BHC,BHUMLU,भुम्लु,27,Y
180,BID,BIDEHA,विदेह,17,Y
346,BIU,BIDUR,विदुर,31,Y
296,BIG,BIGU,विगु,25,Y
461,BIH,BIHADI,विहादी,44,Y
534,BIJ,BIJAYNAGAR,विजयनगर,50,Y
484,BIN,BINAYI TRIBENI,विनयी त्रिवेणी,46,Y
267,BIA,BINDABASINI,बिन्दबासिनी,22,Y
43,BIR,BIRATNAGAR,विराटनगर,5,Y
605,BIE,BIRENDRANAGAR,बीरेन्द्रनगर,59,Y
260,BIW,BIRGUNJ,बिरगंज,22,Y
35,BIT,BIRTAMOD,बिर्तामोड,4,Y
433,BIQ,BIRUWA,बिरुवा,39,Y
228,BIS,BISHNU,विष्णु,19,Y
157,BIP,BISHNUPUR,बिष्णुपुर,15,Y
166,BIV,BISHNUPUR,विष्णुपुर,16,Y
763,BIM,BISHRAMPUR,विश्रामपुर,21,Y
683,BIC,BITTHADCHIR,वित्थडचिर,68,Y
144,BOD,BODEBARSAIEN,बोदेबरसाईन,15,Y
707,BOG,BOGATAN PHUDSIL,बोगटान फुड्सिल,70,Y
226,BRA,BRAHMAPURI,ब्रह्मपुरी,19,Y
233,BRI,BRINDAWAN,बृन्दावन,20,Y
526,BUD,BUDDHABHUMI,बुद्धभुमी,50,Y
40,BUH,BUDDHASHANTI,बुद्धशान्ति,4,Y
344,BUA,BUDHANILKANTHA,बुढानिलकण्ठ,30,Y
52,BUI,BUDHIGANGA,बुढीगंगा,5,Y
670,BUG,BUDHIGANGA,बुढीगंगा,67,Y
671,BUN,BUDHINANDA,बुढीनन्दा,67,Y
483,BUL,BULINGTAR,बुलिङटार,46,Y
678,BUZ,BUNGAL,बुंगल,68,Y
509,BUT,BUTWAL,बुटवल,49,Y
755,BYA,BYANS,ब्याँस,75,Y
416,BYS,BYAS,व्यास,38,Y
88,CHA,CHAINPUR,चैनपुर,9,Y
223,CHK,CHAKRAGHATTA,चक्रघट्टा,19,Y
440,CHM,CHAME,चामे,41,Y
117,CHP,CHAMPADEVI,चम्पादेवी ,12,Y
616,CHU,CHAMUNDA BINDRASAINI,चामुण्डा विन्द्रासैनी,60,Y
640,CHN,CHANDANNATH,चन्दननाथ,63,Y
339,CHD,CHANDRAGIRI,चन्द्रागिरी,30,Y
493,CHR,CHANDRAKOT,चन्द्रकोट,47,Y
224,CHG,CHANDRANAGAR,चन्द्रनगर,19,Y
229,CHQ,CHANDRAPUR,चन्द्रपुर,20,Y
331,CHY,CHANGUNARAYAN,चाँगुनारायण,29,Y
665,CHH,CHANKHELI,चंखेली,66,Y
425,CHO,CHAPAKOT,चापाकोट,39,Y
81,CHB,CHAUBISE,चौबिसे,7,Y
134,CHI,CHAUDANDIGADHI,चौदण्डीगढी,14,Y
610,CHE,CHAUKUNE,चौकुने,59,Y
319,CHL,CHAURI DEURALI,चौंरीदेउराली,27,Y
561,CHJ,CHAURJAHARI,चौरजहारी,77,Y
693,CHT,CHAURPATI,चौरपाटी,69,Y
300,CHS,CHAUTARA SANGACHOWKGADHI,चौतारा साँगाचोकगढी,26,Y
685,CHV,CHHABISPATHIVERA,छबिसपाथिभेरा,68,Y
639,CHC,CHHARKA TANGSONG,छार्का ताङसोङ,62,Y
85,CHW,CHHATHAR,छथर,8,Y
80,CHX,CHHATHAR JORPATI,छथर जोरपाटी ,7,Y
538,CHF,CHHATRADEV,छत्रदेव,51,Y
495,CHZ,CHHATRAKOT,छत्रकोट,47,Y
601,CMM,CHHATRESHWORI,छत्रेश्वरी,58,Y
657,CJJ,CHHAYANATH RARA,छायाँनाथ रारा,65,Y
626,CGG,CHHEDAGAD,छेडागाड,61,Y
150,CVV,CHHINNAMASTA,छिन्नमस्ता,15,Y
265,CFF,CHHIPAHARMAI,छिपहरमाई,22,Y
94,CTT,CHICHILA,चिचिला ,9,Y
612,CNN,CHINGAD,चिङ्गाड,59,Y
118,CFG,CHISANKHUGADHI,चिशंखुगढी,12,Y
23,CKK,CHULACHULI,चुलाचुली ,3,Y
402,CWW,CHUMNUBRI,चुमनुव्री,36,Y
720,CYY,CHURE,चुरे,71,Y
143,DAK,DAKNESHWORI,डाक्नेश्वरी,15,Y
342,DAS,DAKSHINKALI,दक्षिणकाली,30,Y
29,DAM,DAMAK,दमक ,4,Y
573,DAN,DANGISHARAN,दंगीशरण,55,Y
604,DAR,DARMA,दार्मा,58,Y
737,DAH,DASHARATHCHAND,दशरथचन्द,74,Y
19,DEU,DEUMAI,देउमाई,3,Y
474,DEV,DEVCHULI,देवचुली,46,Y
510,DED,DEVDAHA,देवदह,49,Y
421,DEG,DEVGHAT,देवघाट,38,Y
253,DET,DEVTAL,देवताल,21,Y
234,DEW,DEWAHI GONAHI,देवाही गोनाही,20,Y
66,DEA,DEWANGANJ,देवानगञ्ज,6,Y
697,DHA,DHAKARI,ढकारी,69,Y
53,DHN,DHANAPALTHAN,धनपालथान ,5,Y
757,DHU,DHANAUJI,धनौजी,17,Y
159,DHG,DHANGADHIMAI,धनगढीमाई,16,Y
708,DHD,DHANGADHI,धनगढी,71,Y
225,DHK,DHANKAUL,धनकौल,19,Y
73,DHT,DHANKUTA,धनकुटा,7,Y
178,DHS,DHANUSHADHAM,धनुषाधाम,17,Y
61,DHR,DHARAN,धरान,6,Y
403,DHC,DHARCHE,धार्चे,36,Y
89,DHM,DHARMADEVI,धर्मदेवी,9,Y
451,DHL,DHAULAGIRI,धवलागिरी,43,Y
264,DHO,DHOBINI,धोबीनी,22,Y
465,DHP,DHORPATAN,ढोरपाटन,45,Y
312,DHI,DHULIKHEL,धुलिखेल,27,Y
363,DHB,DHUNIBESI,धुनीबेंशी,33,Y
496,DHQ,DHURKOT,धुर्कोट,47,Y
124,DIK,DIKTEL RUPAKOT MAJHUWAGADHI,दिक्तेल रुपाकोट मझुवागढी,13,Y
746,DIL,DILASAINI,डीलासैनी,74,Y
699,DIP,DIPAYAL SILGADHI,दिपायल सिलगढी,70,Y
130,DIR,DIPRUNG,दिप्रुङ चुइचुम्मा,13,Y
745,DOG,DOGADAKEDAR,दोगडाकेदार,74,Y
634,DOL,DOLPO BUDDHA,डोल्पो बुद्ध,62,Y
287,DOR,DORAMBA,दोरम्बा,24,Y
412,DOD,DORDI,दोर्दी,37,Y
274,DUD,DUDHAULI,दुधौली,23,Y
411,DUH,DUDHPOKHARI,दूधपोखरी,37,Y
585,DUU,DUDUWA,डुडुवा,56,Y
63,DUA,DUHABI,दुहवी,6,Y
751,DUN,DUHUN,दुहुँ,75,Y
615,DUL,DULLU,दुल्लु,60,Y
620,DUG,DUNGESHWOR,डुंगेश्वर,60,Y
352,DUP,DUPCHESHWOR,दुप्चेश्वर,31,Y
235,DUR,DURGA BHAGAWATI,दुर्गा भगवती,20,Y
686,DUT,DURGATHALI,दुर्गाथली,68,Y
195,EKD,EKDARA,एकडारा,18,Y
574,GAD,GADHAWA,गढवा,55,Y
68,GAH,GADHI,गढी,6,Y
236,GAI,GADHIMAI,गढीमाई,20,Y
515,GAA,GAIDAHAWA,गैडहवा,49,Y
473,GAK,GAIDAKOT,गैडाकोट,46,Y
366,GAJ,GAJURI,गजुरी,33,Y
367,GAL,GALCHI,गल्छी,33,Y
463,GAO,GALKOT,गल्कोट,45,Y
424,GAY,GALYANG,गल्याङ,39,Y
736,GAN,GANAYAPDHURA,गन्यापधुरा,73,Y
401,GAP,GANDAKI,गण्डकी,36,Y
177,GAE,GANESHMAN CHARNATH,गणेशमान चारनाथ,17,Y
556,GAG,GANGADEV,गंगादेव,53,Y
368,GAM,GANGAJAMUNA,गङ्गाजमुना,33,Y
230,GAR,GARUDA,गरुडा,20,Y
543,GAU,GAUMUKHI,गौमुखी,52,Y
672,GAS,GAUMUL,गौमुल,67,Y
231,GAT,GAUR,गौर,20,Y
34,GAB,GAURADAHA,गौरादह,4,Y
714,GAZ,GAURIGANGA,गौरीगंगा,71,Y
37,GAV,GAURIGUNJ,गौरीगञ्ज,4,Y
293,GAQ,GAURISHANKAR,गौरीशङ्कर,25,Y
194,GAW,GAUSHALA,गौशाला,18,Y
594,GER,GERUWA,गेरुवा,57,Y
444,GHA,GHARAPJHONG,घरपझोङ,42,Y
420,GHI,GHIRING,घिरिङ,38,Y
710,GHO,GHODAGHODI,घोडाघोडी,71,Y
570,GHR,GHORAHI,घोराही,55,Y
276,GHY,GHYANGLEKH,घ्याङलेख,23,Y
220,GOD,GODAITA,गोडैटा,19,Y
326,GOA,GODAWARI,गोदावरी,28,Y
713,GOW,GODAWARI,गोदावरी,71,Y
338,GOK,GOKARNESHWOR,गोकर्णेश्वर,30,Y
286,GOU,GOKULGANGA,गोकुलगङ्गा,24,Y
275,GOL,GOLANJOR,गोलन्जर,23,Y
161,GOB,GOLBAZAR,गोलबजार,16,Y
395,GOR,GORKHA,गोरखा,36,Y
360,GOS,GOSAIKUNDA,गोसाईकुण्ड,32,Y
54,GRA,GRAMTHAN,ग्रामथान,5,Y
237,GUJ,GUJARA,गुजरा,20,Y
587,GUL,GULARIYA,गुलरिया,57,Y
491,GUM,GULMI DARBAR,गुल्मी दरबार,47,Y
619,GUR,GURANS,गुराँस,60,Y
607,GUB,GURBHAKOT,गुर्भाकोट,59,Y
645,GUT,GUTHICHAUR,गुठिचौर,63,Y
41,HAL,HALDIBARI,हल्दिवारी,4,Y
123,HAE,HALESI TUWACHUNG,हलेसी तुवाचुङ,13,Y
190,HAN,HANSAPUR,हंसपुर,17,Y
148,HAU,HANUMANNAGAR KANKALINI,हनुमाननगर कङ्‌कालिनी,15,Y
281,HAR,HARIHARPURGADHI,हरिहरपुरगढी,23,Y
71,HAI,HARINAGARA,हरीनगर ,6,Y
434,HAA,HARINAS,हरिनास,39,Y
217,HAO,HARION,हरिवन,19,Y
215,HAP,HARIPUR,हरिपुर,19,Y
216,HAW,HARIPURWA,हरिपुर्वा,19,Y
106,HAT,HATUWAGADHI,हतुवागढी,10,Y
310,HEL,HELAMBU,हेलम्बु,26,Y
376,HET,HETAUDA,हेटौडा,34,Y
13,HIL,HILIHANG,हिलिहाङ,2,Y
643,HIM,HIMA,हिमा,63,Y
676,HIA,HIMALI,हिमाली,67,Y
486,HUP,HUPSEKOT,हुप्सेकोट,46,Y
394,ICH,ICHCHHAKAMANA,इच्छाकामना,35,Y
18,ILA,ILAM,ईलाम ,3,Y
62,INA,INARUWA,ईनरुवा  ,6,Y
378,IND,INDRASAROWAR,इन्द्रसरोबर,34,Y
303,INR,INDRAWATI,ईन्द्रावती,26,Y
242,ISH,ISHNATH,ईशनाथ,20,Y
207,ISW,ISHWORPUR,ईश्वरपुर,19,Y
489,ISM,ISMA,ईस्मा,47,Y
60,ITA,ITAHARI,ईटहरी ,6,Y
636,JAG,JAGADULLA,जगदुल्ला,62,Y
673,JAA,JAGANNATH,जगन्‍नाथ,67,Y
263,JAR,JAGARNATHPUR,जगरनाथपुर,22,Y
55,JAH,JAHADA,????,5,Y
464,JAI,JAIMINI,जैमिनी,45,Y
192,JAL,JALESHWAR,जलेश्वर,18,Y
457,JAJ,JALJALA,जलजला,44,Y
586,JAN,JANAKI,जानकी,56,Y
715,JAK,JANAKI,जानकी,71,Y
185,JAD,JANAKNANDINI,जनकनन्दिनी,17,Y
175,JAP,JANAKPUR,जनकपुरधाम,17,Y
127,JAT,JANTEDHUNGA,जन्तेढुङ्गा ,13,Y
677,JAY,JAYAPRITHVI,जयपृथ्वी,68,Y
246,JEE,JEETPURSIMARA,जीतपुर सिमरा,21,Y
39,JHA,JHAPA,झापा,4,Y
548,JHI,JHIMRUK,झिमरुक,52,Y
262,JIR,JIRABHAWANI,जिरा भवानी,22,Y
290,JII,JIRI,जिरी,25,Y
703,JOR,JORAYAL,जोरायल,70,Y
719,JOS,JOSHIPUR,जोशीपुर,71,Y
304,JUG,JUGAL,जुगल,26,Y
629,JUN,JUNICHANDE,जुनीचाँदे,61,Y
369,JWA,JWALAMUKHI,ज्वालामूखी,33,Y
706,KIS,K.I. SINGH,के.आई.सिं.,70,Y
42,KAC,KACHANKAWAL,कचनकवल,4,Y
336,KAG,KAGESHWORI MANOHARA,कागेश्वरी मनोहरा,30,Y
638,KAI,KAIKE,काईके,62,Y
718,KAL,KAILARI,कैलारी,71,Y
379,KAA,KAILASH,कैलाश,34,Y
348,KAK,KAKANI,ककनी,31,Y
245,KAY,KALAIYA,कलैया,21,Y
431,KAN,KALI GANDAKI,कालीगण्डकी,39,Y
490,KAD,KALI GANDAKI,कालीगण्डकी,47,Y
359,KAO,KALIKA,कालिका,32,Y
389,KAP,KALIKA,कालिका,35,Y
269,KAM,KALIKAMAI,कालिकामाई,22,Y
598,KAT,KALIMATI,कालिमाटी,58,Y
292,KAH,KALINCHOWK,कालिन्चोक,25,Y
163,KAU,KALYANPUR,कल्याणपुर,16,Y
36,KAJ,KAMAL,कमल,4,Y
184,KAQ,KAMALA,कमला,17,Y
273,KAB,KAMALAMAI,कमलामाई,23,Y
691,KAZ,KAMALBAZAR,कमलबजार,69,Y
641,KAS,KANAKASUNDARI,कनकासुन्दरी,63,Y
516,KAV,KANCHAN,कन्चन,49,Y
142,KAR,KANCHANRUP,कञ्चनरुप,15,Y
56,KAE,KANEPOKHARI,कानेपोखरी,5,Y
30,KAW,KANKAI,कन्काई,4,Y
525,KAX,KAPILVASTU,कपिलवस्तु,50,Y
600,KAF,KAPURKOT,कपुरकोट,58,Y
252,KBB,KARAIYAMAI,करैयामाई,21,Y
168,KEE,KARJANHA,कर्जन्हा,16,Y
57,KJJ,KATAHARI,कटहरी,5,Y
238,KHH,KATAHARIYA,कटहरिया,20,Y
133,KCC,KATARI,कटारी ,14,Y
467,KEF,KATHEKHOLA,काठेखोला,45,Y
335,KGG,KATHMANDU,काठमाण्डौं,30,Y
759,KYY,KAUDENA,कौडेना,19,Y
472,KNN,KAWASOTI,कावासोती,46,Y
222,KZZ,KAWILASI,कविलासी,19,Y
687,KED,KEDARASYU,केदारस्युँ,68,Y
129,KEP,KEPILASGADHI,केपिलासगढी,13,Y
58,KER,KERABARI,केरावारी,5,Y
285,KHA,khadadevi,खाँडादेवी,24,Y
145,KHD,KHADAK,खडक,15,Y
390,KHI,KHAIRAHANI,खैरहनी,35,Y
584,KHJ,KHAJURA,खजुरा,56,Y
648,KHN,KHANDACHAKRA,खाँडाचक्र,64,Y
90,KHB,KHANDBARI,खाँदवारी,9,Y
318,KHK,KHANIKHOLA,खानीखोला,27,Y
365,KHY,KHANIYABASH,खनियाबास,33,Y
675,KHP,KHAPTAD CHHEDEDAHA,खप्तड छेडेदह,67,Y
681,KHT,KHAPTADCHHANNA,खप्तडछान्ना,68,Y
663,KHR,KHARPUNATH,खार्पुनाथ,66,Y
660,KHL,KHATYAD,खत्याड,65,Y
116,KHE,KHIJIDEMBA,खिजिदेम्बा,12,Y
